得意先ｺｰﾄﾞ,得意先名１,得意先名２,得意先名略称,得意先名索引,郵便番号,住所１住所２住所３,電話番号,ＦＡＸ番号
714041,江南ｼﾞｰﾃｯｸ株式会社,,江南ｼﾞｰﾃｯｸ,ｺｳﾅﾝｼﾞｰﾃｯｸ,254-0015,神奈川県平塚市東八幡5丁目11-14,0463-23-7781,0463-23-7753
714051,株式会社ｺｰｼﾝｲﾝﾃｯｸｽ,,ｺｰｼﾝｲﾝﾃｯｸｽ,ｺｰｼﾝ,399-0007,長野県松本市石芝４丁目2-14,0263-26-7711,0263-27-3596
714055,高分子計器□,,高分子計器□,,,,,
714071,ｺｸﾖ株式会社 商品本部,示す･整えるVU開発ｸﾞﾙｰﾌﾟ,ｺｸﾖ,ｺｸﾖ,537-0013,大阪市東成区大今里南6-1-1,06-6973-9181,06-6972-9181
714076,ｺｰﾝｽﾞﾄﾞｯﾄｳｪﾙｺｰﾃﾞｨﾝｸﾞ□,,ｺｰﾝｽﾞﾄﾞｯﾄｳｪﾙｺｰﾃﾞｨﾝｸﾞ□,,,,,
714081,株式会社ｺｽﾓﾄﾚｰﾃﾞｨﾝｸﾞ,,ｺｽﾓﾄﾚｰﾃﾞｨﾝｸﾞ,ｺｽﾓﾄﾚｰﾃ,541-0044,大阪府大阪市中央区伏見町2-1-1三井住友ﾋﾞﾙ9階,06-4707-6366,06-4707-0111
714085,ｺｽﾓ石油□,,ｺｽﾓ石油□,,,,,
714091,株式会社ｺﾏﾃﾞﾝ 本社, 総務部・購買G,ｺﾏﾃﾞﾝ 本社,ｺﾏﾃﾞﾝ,106-0044,東京都港区東麻布2-22-1,03-3582-9658,03-3582-9619
714101,金剛化学　株式会社,,金剛化学,ｺﾝｺﾞｳｶｶﾞｸ,635-0051,奈良県大和高田市根成柿105-1,0745-22-7828,0745-22-7882
714105,ｺｽﾓﾎﾟﾘﾏｰ□,,ｺｽﾓﾎﾟﾘﾏｰ□,,,,,
714116,小山商店□,,小山商店□,,,,,
714132,ｺｰﾃﾞﾝｼDH株式会社 生産部 購買Gr,,ｺｰﾃﾞﾝｼDH,ｺｰﾃﾞﾝｼ,392-0016,長野県諏訪市豊田361番地1,0266-58-7531,0266-58-8041
714141,香西ｻﾝﾌﾟﾙ　　714141,,香西ｻﾝﾌﾟﾙ,ｺｳｻﾞｲｻﾝﾌﾟﾙ,761-8081,高松市成合町650-5,087-885-8102,087-885-8102
720011,有限会社ｻｲｾｷ,,ｻｲｾｷ,ｻｲｾｷ,791-8056,愛媛県松山市別府町805-1,089-951-3929,089-989-4476
720015,齋藤㈱　□,,齋藤㈱　□,ｻｲﾄｳｶﾌﾞｼｶｸ,,,,
720016,ｻｶｲｵｰﾍﾞｯｸｽ□,,ｻｶｲｵｰﾍﾞｯｸｽ□,,,,,
720021,3103KITCHEN(加藤聡美）　720021,,3103KITCHEN(加藤聡美)720021,ｻﾄﾐｷｯﾁﾝ,510-8031,三重県四日市市川北1-17-12,090-9922-5775,
720022,嵯峨電機工業株式会社 技術部 金子,,嵯峨電機工業 金子,ｻｶﾞﾃﾞﾝｷｺｳｷ,146-0083,東京都大田区千鳥2-39-26,03-3758-8691,03-3759-7257
720025,栄金属□,,栄金属□,,,,,
720032,嵯峨電機工業株式会社 ﾃｸﾆｶﾙｾﾝﾀｰ,,嵯峨電機工業ﾃｸﾆｶﾙｾﾝﾀ,ｻｶﾞﾃﾞﾝｷｺｳｷ,146-0083,東京都大田区千鳥2-39-26,03-3758-2249,03-3758-7257
720045,JINTECH坂下　□,,JINTECH坂下　□,,,,,
720046,株式会社栄ﾗｲﾄ工業所,,㈱栄ﾗｲﾄ工業所,ｻｶｴﾗｲﾄ,574-0052,大阪府大東市新田北町1-18,072-871-3841,072-874-2756
720052,株式会社札幌ｺﾞﾑ,,札幌ｺﾞﾑ,ｻｯﾎﾟﾛｺﾞﾑ,063-0835,札幌市西区発寒15条12丁目2-45,011-666-5656,011-666-3232
720055,佐川急便大阪□,,佐川急便大阪□,,,,,
720062,株式会社札幌立体ﾃﾞｰﾀｻｰﾋﾞｽ,,札幌立体ﾃﾞｰﾀｻｰﾋﾞｽ,ｻｯﾎﾟﾛﾘｯﾀｲﾃ,060-0032,札幌市中央区北2条東1丁目3-3北2条ｻﾝﾏｳﾝﾃﾝﾋﾞﾙ3階 SHARE内,090-4879-8203,
720066,佐川急便北海道□,,佐川急便北海道□,,,,,
720075,崎山化工所□,,崎山化工所□,,,,,
720081,株式会社佐野商会,,佐野商会,ｻﾉｼｮｳｶｲｼｮｳ,530-0005,大阪府大阪市北区中之島2-3-18中之島ﾌｪｽﾃｨﾊﾞﾙﾀﾜｰ19F,06-6221-1223,06-6221-1225
720086,札樽自動車運輸□,,札樽自動車運輸□,,,,,
720096,ｻﾝ･ｱﾛｰ化成株式会社,営業部 部長 原田,ｻﾝ･ｱﾛｰ化成　原田,ｻﾝｱﾛｰｶｾｲ,530-0005,大阪府大阪市北区中之島2丁目2-7中之島ｾﾝﾄﾗﾙﾀﾜｰ19階,06-6201-7250,06-6201-7257
720106,札幌谷藤□,,札幌谷藤□,,,,,
720121,三協化工株式会社,,三協化工,ｻﾝｷｮｳｶｺｳ,547-0001,大阪市平野区加美北6丁目2-22,06-6792-6825,06-6793-6200
720126,札幌通運□,,札幌通運□,,,,,
720131,株式会社ｻﾝｴｰ,,株式会社ｻﾝｴｰ,ｻﾝｴｰ,728-0017,広島県三次市南畑敷町870-38,0824-63-5331,0824-63-3584
720136,札幌通運滝川□,,札幌通運滝川□,,,,,
720141,株式会社ｻｸﾗｸﾚﾊﾟｽ,,株式会社ｻｸﾗｸﾚﾊﾟｽ,ｻｸﾗｸﾚﾊﾟｽ,578-0901,大阪府東大阪市加納7-18-47,072-873-5509,072-873-6070
720146,札幌日産自動車□,,札幌日産自動車□,,,,,
720152,株式会社ｻﾝｸﾘｴｰﾄ,,ｻﾝｸﾘｴｰﾄ,ｻﾝｸﾘｴｰﾄ,007-0843,札幌市東区北43条東1丁目6-10,011-704-8711,011-702-8722
720156,佐藤包装紙器□,,佐藤包装紙器□,,,,,
720165,ｻｶｾ化学工業株式会社,,ｻｶｾ化学工業㈱,ｻｶｾｶｶﾞｸ,910-0147,福井県福井市下森田町3-5,0776-56-1122,0776-56-3698
720202,三洋工業株式会社 札幌営業所,,三洋工業 札幌営業所,ｻﾝﾖｳｺｳｷﾞｮｳ,003-0873,札幌市白石区米里3条2丁目7-1,011-879-3451,011-879-3452
720212,株式会社三洋工業北海道ｼｽﾃﾑ,,三洋工業北海道ｼｽﾃﾑ,ｻﾝﾖｳｺｳｷﾞｮｳ,003-0822,札幌市白石区米里3条2丁目7-1,011-871-8780,011-871-8783
720221,山陽電気工業株式会社,,山陽電気工業,ｻﾝﾖｳﾃﾞﾝｷｺｳ,720-0825,広島県福山市沖野上町3-1-5,084-922-1184,084-931-2248
720225,ｻﾝｴｰ製作所□,,ｻﾝｴｰ製作所□,,,,,
720235,三輝化成□,,三輝化成□,,,,,
720241,三和ｹﾐｶﾙ株式会社,,三和ｹﾐｶﾙ,ｻﾝﾜｹﾐｶﾙ,577-0061,大阪府東大阪市森河内西1-5-10,06-6787-2015,06-6787-2494
720251,三和ｺﾞﾑ工業株式会社　　　　*,,三和ｺﾞﾑ工業,ｻﾝﾜｺﾞﾑｺｳｷﾞ,636-0247,奈良県磯城郡田原本町阪手610,0744-33-2345,0744-33-4659
720252,三機製作所□,,三機製作所□,,,,,
720261,三和工業用品株式会社,,三和工業用品,ｻﾝﾜｺｳｷﾞｮｳﾖ,624-0907,舞鶴市福来問屋町17－12,0773-75-1805,0773-75-4931
720262,三和ｼﾔｯﾀｰ工業株式会社 購買部,,三和ｼﾔｯﾀｰ 購買部,ｻﾝﾜｼﾔｯﾀｰ,175-0081,東京都板橋区新河岸2-3-5,03-5998-7253,03-5998-7344
720272,三和ｼﾔｯﾀｰ工業株式会社 札幌工場,,三和ｼﾔｯﾀｰ 札幌工場,ｻﾝﾜｼﾔｯﾀｰ,061-1433,恵庭市北柏木町3丁目48番地,0123-32-4111,0123-33-4921
720275,三共商事□,,三共商事□,,,,,
720282,三和ｼﾔｯﾀｰ工業株式会社 足利工場,,三和ｼﾔｯﾀｰ 足利工場,ｻﾝﾜｼﾔｯﾀｰ,326-0332,栃木県足利市福富新町768,0284-71-4137,0284-71-4995
720285,三興商会□,,三興商会□,,,,,
720292,三和ｼﾔｯﾀｰ工業株式会社 秋田工場,,三和ｼﾔｯﾀｰ 秋田工場,ｻﾝﾜｼﾔｯﾀｰ,011-0951,秋田市土崎港相染字浜ﾅｼ山17-5,0188-46-1201,0188-46-5826
720302,三和ｼﾔｯﾀｰ工業株式会社 岐阜工場,,三和ｼﾔｯﾀｰ 岐阜工場,ｻﾝﾜｼﾔｯﾀｰ,503-2121,岐阜県不破郡垂井町516,0584-22-1211,0584-22-2102
720305,三晃ﾃｲｴﾋﾟｰ株式会社,,三晃ﾃｲｴﾋﾟｰ,ｻﾝｺｳﾃｨ,577-0809,東大阪市永和2-2-34,06-6723-3311,06-6723-3378
720312,三和ｼﾔｯﾀｰ工業株式会社 広島工場,,三和ｼﾔｯﾀｰ 広島工場,ｻﾝﾜｼﾔｯﾀｰ,731-0523,広島県安芸高田市吉田長吉田山手980,0826-43-0623,0826-43-1821
720325,三泉工業□,,三泉工業□,,,,,
720335,ｻﾝﾄｯｸｽ□,,ｻﾝﾄｯｸｽ□,,,,,
720386,ｻﾆｸﾘｰﾝ□,,ｻﾆｸﾘｰﾝ□,,,,,
720415,さくら加工　□,,さくら加工□,,,,,
720720,三昌商事□,,三昌商事□,,,,,
721015,ｼﾞｰｴﾑｴﾝｼﾞﾆｱﾘﾝｸﾞ□,,ｼﾞｰｴﾑｴﾝｼﾞﾆｱﾘﾝｸﾞ□,,,,,
721016,使用ｼﾅｲ□,,使用ｼﾅｲ□,,,,,
721031,株式会社ｼﾞｪｲ･ﾃｯｸ,,ｼﾞｪｲﾃｯｸ,ｼﾞｪｲﾃｯｸ,583-0033,大阪府藤井寺市小山5丁目13番41号,072-946-2344,072-946-2355
721041,有限会社ｼｽﾞｵｶｻﾝﾌﾟﾙ,,ｼｽﾞｵｶｻﾝﾌﾟﾙ,ｼｽﾞｵｶｻﾝﾌﾟﾙ,421-0134,静岡県静岡市駿河区青木392-1,054-257-1177,054-257-3333
721051,株式会社ｼﾅｶﾞﾜ,,ｼﾅｶﾞﾜ,ｼﾅｶﾞﾜ,,大阪府東大阪市菱江3-8-25,072-964-4756,072-964-2431
721062,株式会社ｼﾅｼﾞｰﾃｯｸ,,ｼﾅｼﾞﾃｯｸ,ｼﾅｼﾞｰﾃｯｸ,774-0045,徳島県阿南市宝田町平岡899-34,0884-24-7511,
721072,篠原電機株式会社,,篠原電機,ｼﾉﾊﾗﾃﾞﾝｷ,555-0012,大阪市西淀川区御幣島1-12-20 淀川事業所 購買部 向山様,06-6472-0039,06-6472-0069
721082,株式会社ｼﾌﾞﾀﾆ 購買部 業務1課,,ｼﾌﾞﾀﾆ,ｼﾌﾞﾀﾆ,541-0048,大阪府大阪市中央区瓦町1-2-13,06-6222-8168,06-6222-8169
721085,ｼﾞｬﾊﾟﾝﾃｸﾆｶﾙ□,,ｼﾞｬﾊﾟﾝﾃｸﾆｶﾙ□,,,,,
721091,株式会社ｼｽﾃﾑｸﾘｴｲﾄ,,株式会社ｼｽﾃﾑｸﾘｴｲﾄ,ｼｽﾃﾑｸﾘｴｲ,577-0022,大阪府東大阪市荒本新町1-20,06-6618-8555,06-6618-8566
721092,FMS清水製作所,,清水製作所,ｼﾐｽﾞｾｲｻｸｼｮ,546-0013,大阪府大阪市東住吉区湯里4-18-3B棟1F,06-6797-1335,06-6797-1386
721095,昭永緑化□,,昭永緑化□,,,,,
721105,税理士法人城会計□,,税理士法人城会計□,,,,,
721121,株式会社ｼﾞｭｹﾝ,,ｼﾞｭｹﾝ,ｼﾞｭｹﾝ,451-0025,愛知県名古屋市西区上名古屋4-7-6,052-521-9321,052-521-9324
721126,石狩市ｼﾙﾊﾞｰ人材ｾﾝﾀｰ□,,石狩市ｼﾙﾊﾞｰ人材ｾﾝﾀｰ□,,,,,
721135,使用ｼﾅｲ□,,使用ｼﾅｲ□,,,,,
721136,昭和興産株式会社,北海道営業所,昭和興産,ｼｮｳﾜｺｳｻﾝ,060-0002,札幌市中央区北2条西3丁目1番地敷島ﾋﾞﾙ8階,011-231-2428,011-221-0856
721141,食品模型のｱｲﾃﾞｨｱ　　　　　721141,,食品模型のｱｲﾃﾞｨｱ,ｼｮｸﾋﾝﾓｹｲﾉｱ,470-0133,愛知県日進市梅森台2丁目222番,052-803-6510,052-803-4995
721146,ｼﾝｾﾒｯｸ株式会社□,,ｼﾝｾﾒｯｸ株式会社□,,,,,
721151,食品ｻﾝﾌﾟﾙの日美,,食品ｻﾝﾌﾟﾙの日美,ﾆﾁﾋﾞ,811-1353,福岡県福岡市南区柏原4-20-30,092-567-0011,092-567-0010
721152,株式会社ｼﾘｺﾝﾌﾟﾗｽ,,ｼﾘｺﾝﾌﾟﾗｽ,ｼﾘｺﾝﾌﾟﾗｽ,994-0002,山形県天童市乱川1-2-52,023-674-9766,023-651-8288
721156,新栄電気工事□,,新栄電気工事□,,,,,
721166,使用ｼﾅｲ□,,使用ｼﾅｲ□,,,,,
721171,伸榮産業株式会社　　*,,伸榮産業,ｼﾝｴｲｻﾝｷﾞｮｳ,574-0057,大東市新田西町1番10号,072-806-7800,072-806-7801
721175,信越ﾎﾟﾘﾏｰ名古屋□,,信越ﾎﾟﾘﾏｰ名古屋□,,,,,
721181,信栄物産株式会社,,信栄物産,ｼﾝｴｲﾌﾞｯｻﾝ,537-0002,大阪市東成区深江南2-12-23,06-6720-8731,06-6720-8717
721185,ｼﾝｸﾍﾞｽﾄ□,,ｼﾝｸﾍﾞｽﾄ□,,,,,
721196,新ｹﾐｶﾙ商事株式会社,,新ｹﾐｶﾙ商事,ｼﾝｹﾐｶﾙｼｮｳｼ,060-0005,北海道札幌市中央区北5条西5丁目2-5,011-222-7708,011-222-7675
721211,ｼﾝﾃﾞﾝ商事株式会社,,ｼﾝﾃﾞﾝ商事,ｼﾝﾃﾞﾝ,160-0008,東京都新宿区四谷三栄町6番5号 木原ビル3階,03-3358-8601,03-3358-8086
721221,新明和工業株式会社産機ｼｽﾃﾑ事業部,製造本部 業務部 調達課 川東,新明和工業,ｼﾝﾒｲﾜｺｳｷﾞｮ,665-0052,兵庫県宝塚市新明和町1-1,0798-54-1885,0798-54-1882
721265,信光電気計装□,,信光電気計装□,,,,,
721275,有限会社芝西特殊技研□,,有限会社芝西特殊技研□,,,,,
722011,鈴木油脂工業株式会社,研究開発･ﾏｲｸﾛｶﾌﾟｾﾙ部 林,鈴木油脂工業,ｽｽﾞｷﾕｼ,533-0021,大阪府大阪市東淀川区下新庄1-8-23,06-6326-2361,06-6326-2371
722016,ｽﾞｲﾎｰ産業□,,ｽﾞｲﾎｰ産業□,,,,,
722021,株式会社須藤研究所　　　722021,,須藤研究所,ｽﾄﾞｳｹﾝｷｭｳｼ,150-0011,東京都渋谷区東2-1-4,03-3407-0861,03-3407-0841
722031,株式会社ｽﾌﾟｰﾝ,,ｽﾌﾟｰﾝ,ｽﾌﾟｰﾝ,363-0001,埼玉県桶川市加納208-36,,
722035,鈴五商事□,,鈴五商事□,,,,,
722051,住化農業資材株式会社,,住化農業資材,ｽﾐｶﾉｳｷﾞｮｳ,541-0043,大阪市中央区高麗橋4-6-17 住化不動産横堀ﾋﾞﾙ,06-6204-1241,06-6204-1247
722062,日軽ｴﾝｼﾞﾆｱﾘﾝｸﾞ株式会社,東京購買･工事ﾁｰﾑ 石崎,日軽ｴﾝｼﾞﾆｱﾘﾝｸﾞ 東京,ｽﾐｹｲﾆｯｹｲｴﾝ,136-0071,東京都江東区亀戸2-35-13 新永ﾋﾞﾙ4F,03-5628-8512,03-5628-8502
722072,日軽ｴﾝｼﾞﾆｱﾘﾝｸﾞ株式会社 大阪,営業第二ﾁｰﾑ 日根野,日軽ｴﾝｼﾞﾆｱﾘﾝｸﾞ 大阪,ｽﾐｹｲﾆｯｹｲｴﾝ,541-0045,大阪府大阪市中央区道修町1-5-18朝日生命道修町ﾋﾞﾙ9F,06-6223-3564,06-6223-3565
722076,住友商事□,,住友商事□,,,,,
722081,有限会社ｽﾘｰｱﾛｰ,,ｽﾘｰｱﾛｰ,ｽﾘｰｱﾛｰ,739-1733,広島県広島市安佐北区口田南3-21-40-1,082-840-0202,082-840-0208
722091,ｽﾘｰﾅｲﾝ島野株式会社,,ｽﾘｰﾅｲﾝ島野,ｽﾘｰﾅｲﾝｼﾏﾉｶ,550-0015,大阪市西区南堀江3-2-17,06-6531-9423,06-6724-3169
723011,西部株式会社,,西部,ｾｲﾌﾞ,578-0975,東大阪市中鴻池町2-7-33,06-6744-3102,06-6744-3112
723022,積水化学北海道株式会社,建築・ストック営業部,積水化学北海道,ｾｷｽｲｶｶﾞｸ,001-0014,札幌市北区北14条西4丁目2-1ﾊｰﾓﾈｰﾄﾋﾞﾙ2F,011-737-6330,011-736-5987
723035,西濃運輸□,,西濃運輸□,,,,,
723046,西武運輸北海道□,,西武運輸北海道□,,,,,
723055,西武運輸□,,西武運輸□,,,,,
723061,積水樹脂株式会社 土浦製造所　#,,積水樹脂 土浦,ｾｷｽｲｼﾞｭｼﾂｸ,300-0006,茨城県土浦市東中貫町2-2,029-895-0651,029-895-0652
723065,西武運輸航空□,,西武運輸航空□,,,,,
723086,積水化学北海道□,,積水化学北海道□,,,,,
723091,積水ﾊｳｽ株式会社,,積水ﾊｳｽ,ｾｷｽｲﾊｳｽ,531-0076,大阪市北区大淀中1丁目1-88 梅田ｽｶｲﾋﾞﾙ ﾀﾜ-ｲ-ｽﾄ18F,06-6440-3134,
723101,積水ﾊｳｽ株式会社 関東工場　　#,,積水ﾊｳｽ 関東工場,ｾｷｽｲﾊｳｽｶ,306-0213,茨城県古河市北利根2番地,,
723106,ｾｺﾑ□,,ｾｺﾑ□,,,,,
723111,積水ﾊｳｽ株式会社 静岡工場　　#,,積水ﾊｳｽ 静岡工場,ｾｷｽｲﾊｳｽｶﾌ,437-1405,静岡県掛川市中1100,0537-74-2881,
723116,ｾﾞﾆｱﾃｯｸｽ□,,ｾﾞﾆｱﾃｯｸｽ□,,,,,
723121,積水ﾊｳｽ株式会社 山口工場　　#,,積水ﾊｳｽ 山口工場,ｾｷｽｲﾊｳｽｶﾌﾞ,747-1221,山口県山口市鋳銭司5000,083-986-2595,083-986-2793
723131,積水ﾊｳｽ株式会社 東北工場　　#,,積水ﾊｳｽ 東北工場,ｾｷｽｲﾊｳｽｶﾌﾞ,981-4122,宮城県加美郡色麻町四竃大原8,0229-66-1000,
723135,ｾﾝﾀﾞｲ工業□,,ｾﾝﾀﾞｲ工業□,,,,,
723141,積水ﾊｳｽ株式会社 兵庫,,積水ﾊｳｽ 兵庫,ｾｷｽｲﾊｳｽｶﾌﾞ,673-1314,兵庫県加東市横谷石谷798-36,0795-47-1771,
723145,ｾﾞﾝﾉ□,,ｾﾞﾝﾉ□,,,,,
723155,千里工業□,,千里工業□,,,,,
724011,有限会社綜合ｻﾝﾌﾟﾙ,,綜合ｻﾝﾌﾟﾙ,ｿｳｺﾞｳｻﾝﾌﾟﾙ,670-0058,兵庫県姫路市車崎2-6-16,079-296-4554,079-297-3335
724015,SOFT＆HARDﾖﾘﾓﾄ,,SOFT＆HARDﾖﾘﾓﾄ,ｿﾌﾄｱﾝﾄﾞﾊｰﾄ,,,,
724032,空知単板工業株式会社,,空知単板工業,ｿﾗﾁﾀﾝﾊﾟﾝ,079-1286,赤平市平岸西町3丁目12番地,0125-38-8001,0125-38-8500
730012,第一ｺﾞﾑ株式会社,化成品事業本部 開発部 石倉,第一ｺﾞﾑ,ﾀﾞｲｲﾁｺﾞﾑ,047-0013,小樽市奥沢3丁目28番12号,0134-33-7700,0134-25-4588
730015,第一貨物□,,第一貨物□,,,,,
730031,ﾀｲｶﾞｰｽ工販株式会社,,ﾀｲｶﾞｰｽ工販,ﾀｲｶﾞｰｽ,660-0085,尼崎市元浜町1丁目45番地,06-6411-1690,06-6411-1692
730036,大真機工□,,大真機工□,,,,,
730041,大昭模型製作所,,大昭模型製作所,ﾀﾞｲｼｮｳﾓｹｲｾ,890-0055,鹿児島県鹿児島市上荒田町50-2,099-254-6255,099-255-3350
730061,ﾀﾞｲﾔ工業株式会社,,ﾀﾞｲﾔ工業,ﾀﾞｲﾔｺｳｷﾞｮｳ,701-0203,岡山県岡山市南区古新田1125番地,086-282-0377,086-282-0103
730072,株式会社ﾀｲﾚｯｸｽ,,ﾀｲﾚｯｸｽ,ﾀｲﾚｯｸｽ,007-0880,札幌市東区丘珠町494番地8,011-802-6784,011-802-6785
730076,高井田工具□,,高井田工具□,,,,,
730082,株式会社大和ﾊﾟｯｹｰｼﾞ,,大和ﾊﾟｯｹｰｼﾞ,ﾀﾞｲﾜ,071-1511,上川郡東神楽町北1条西4-2-14,0166-83-2311,0166-83-3896
730092,高木金型□,,高木金型□,,,,,
730122,株式会社ﾀﾞﾝｸ,,ﾀﾞﾝｸ,ﾀﾞﾝｸ,061-1274,北広島市大曲工業団地4丁目6-6,011-370-5301,011-370-5877
730131,株式会社淡野製作所,,淡野製作所,ﾀﾞﾝﾉｾｲｻｸｯｼ,577-0805,大阪府東大阪市宝持1-4-21,06-6721-1379,06-6724-4409
730145,ﾀﾏｷｵｰﾄ□,,ﾀﾏｷｵｰﾄ□,,,,,
730155,たまゆら□,,たまゆら□,,,,,
731011,ﾁｬﾚﾝｼﾞ･ﾂｰﾜﾝ,ｴﾗｽﾄﾏｰ技研,ﾁｬﾚﾝｼﾞ･ﾂｰﾜﾝ,ﾁｬﾚﾝｼﾞﾂｰ,540-0037,大阪府大阪市中央区内平野町2-2-9ﾗｲｵﾝｽﾞM大手前第2-504号,06-6947-0035,06-6947-0035
731015,中越黒煙□,,中越黒煙□,,,,,
731031,中京食品ｻﾝﾌﾟﾙ(ﾄｼﾄｳﾋｻﾖｼｻﾏ),,中京食品ｻﾝﾌﾟﾙ,ﾁｭｳｷｮｳｼｮｸﾋ,453-0021,愛知県名古屋市中村区松原町2の10,052-471-2561,052-471-2549
732011,有限会社つかさｻﾝﾌﾟﾙ,,つかさｻﾝﾌﾟﾙ,ﾂｶｻｻﾝﾌﾟﾙ,216-0012,神奈川県川崎市宮前区水沢3-3-15,044-976-0828,044-976-7851
732026,対馬□,,対馬□,,,,,
732032,株式会社月寒製作所,,月寒製作所,ﾂｷｻﾑｾｲｻｸｼｮ,004-0871,札幌市清田区平岡1条5丁目2番1号,011-881-1107,01-882-1361
732041,株式会社鎚絵,,鎚絵,ﾂﾁｴ,803-0802,北九州市小倉北区東港1-1-21,093-561-2511,093-561-5099
732051,株式会社槌屋　大阪営業所,,槌屋,ﾂﾁﾔ,532-0002,大阪市淀川区東三国2-38-17,06-6394-5455,06-6393-5457
732062,株式会社槌屋 宇都宮営業所,,槌屋 宇都宮,ﾂﾁﾔ,321-0964,栃木県宇都宮市駅前通り1-3-1KDX宇都宮ﾋﾞﾙ3階,028-600-0611,028-600-0616
732064,株式会社槌屋 東京営業所,,槌屋 東京,ﾂﾁﾔ,105-0012,東京都港区芝大門2-5-3,,03-5402-5470
732065,つつみ屋□,,つつみ屋□,,,,,
732071,株式会社槌屋  経理課,,槌屋 東京経理,ﾂﾁﾔ,105-0012,東京都港区芝大門2-5-3,03-5402-5451,03-5402-5454
732075,ﾂﾔﾏ産業□,,ﾂﾔﾏ産業□,,,,,
732081,槌屋ﾔｯｸ株式会社,,槌屋ﾔｯｸ,ﾂﾁﾔﾔｯｸｶ,444-8516,愛知県岡崎市日名西町3番地,0564-26-1484,0564-26-1561
733011,株式会社ﾃﾞｻﾞｲﾝﾎﾟｹｯﾄ,,㈱ﾃﾞｻﾞｲﾝﾎﾟｹｯﾄ,ﾃﾞｻﾞｲﾝﾎﾟｹｯ,542-0075,大阪府大阪市中央区難波千日前8-22-4F,06-6630-1123,06-6630-1124
733021,ﾃｨｰｴｰｹﾐｶﾙ株式会社,,ﾃｨｰｴｰｹﾐｶﾙ株式会社,ﾃｨｰｴｰｹﾐｶﾙｶ,541-0043,大阪府大阪市中央区高麗橋2-3-15上喜ﾋﾞﾙ4階,06-4707-2575,06-4707-2585
733022,株式会社TWFｲﾝﾀﾞｽﾄﾘｲ 野沢,,TWFｲﾝﾀﾞｽﾄﾘｲ 野沢,ﾃｨｰﾀﾞﾌﾞﾘｭ,204-0002,東京都清瀬市旭が丘3-374-4,090-2404-4130,
733025,TKC□,,TKC□,,,,,
733042,DNﾗｲﾃｨﾝｸﾞ株式会社 劉,,DNﾗｲﾃｨﾝｸﾞ 劉,ﾃﾞｨｰｴﾇﾗｲﾃｨ,254-0036,神奈川県平塚市宮松町15-23,0463-22-1040,0463-21-0750
733046,DNﾗｲﾃｨﾝｸﾞ株式会社 需給G 梅内,,DNﾗｲﾃｨﾝｸﾞ 需給G 梅内,ﾃﾞｨｰｴﾇﾗｲﾃｨ,141-0031,東京都品川区西五反田1-13-65,03-5436-6050,03-5436-7124
733056,ﾃｻﾞｯｸ□,,ﾃｻﾞｯｸ□,,,,,
734016,当栄商事□,,当栄商事□,,,,,
734022,東京R&Dｺﾝﾎﾟｼﾞｯﾄ工業株式会社,船子事業所,東京ｱｰﾙｱﾝﾄﾞﾃﾞｰ 船子,ﾄｳｷｮｳ,243-0034,神奈川県厚木市船子151,046-226-8101,046-226-8151
734031,東京ｴｰ･ｱｲ･ｼｰ株式会社,,東京ｴｰｱｲｼｰ,ﾄｳｷｮｳｴｰｱｲｼ,101-0065,東京都千代田区西神田2-3-2 ﾊﾀﾉﾋﾞﾙ,03-3261-6925,03-3261-1593
734042,三菱ｶﾞｽ化学ﾄﾚｰﾃﾞｨﾝｸﾞ株式会社,大阪支店,三菱ｶﾞｽ化学ﾄﾚｰﾃﾞｨﾝｸﾞ,ﾐﾂﾋﾞｼｶﾞｽﾄﾚ,530-0013,大阪府大阪市北区茶屋町19-19ｱﾌﾟﾛｰｽﾞﾀﾜｰ 23階,06-7739-4577,06-6485-0593
734046,道央ﾒﾀﾙ□,,道央ﾒﾀﾙ□,,,,,
734055,東京ｱｲﾃﾞｱﾙ□,,東京ｱｲﾃﾞｱﾙ□,,,,,
734072,株式会社東商ｾﾝﾄﾗﾙ,,東商ｾﾝﾄﾗﾙ,ﾄｳｼｮｳｾﾝﾄﾗﾙ,101-0054,東京都千代田区神田錦町3-5-1興和一橋ﾋﾞﾙ別館2F,03-3259-7453,03-3259-7854
734081,東都積水株式会社 内装建材営業部,商品開発担当課長 遠藤 誠,東都積水,ﾄｳﾄｾｷｽｲ,105-0012,東京都港区芝大門２丁目８番１３号,03-3438-2270,03-3438-2271
734092,東邦ｼｰﾄﾌﾚｰﾑ株式会社,札幌営業所,東邦ｼﾄﾌﾚｰﾑ,ﾄｳﾎｳｼｰﾄ,003-0004,札幌市白石区東札幌4条1丁目2-20,011-811-5161,011-811-5163
734102,東北江南株式会社,,東北江南,ﾄｳﾎｸｺｳﾅﾝ,969-1513,福島県二本松市小沢字柳原72-4 小沢工業団地,0243-61-3491,0243-53-2770
734106,道都化学産業□,,道都化学産業□,,,,,
734111,東洋ｱﾙﾐｴｺｰﾌﾟﾛﾀﾞｸﾂ株式会社　　#,,東洋ｱﾙﾐｴｺｰﾌﾟﾛﾀﾞｸﾂ,ﾄｳﾖｳｱﾙﾐ,550-0005,大阪市西区西本町1-4-1 ｵﾘｯｸｽ本町ﾋﾞﾙ 13F,06-6110-1308,06-6110-2282
734115,東邦ｺﾞﾑ□,,東邦ｺﾞﾑ□,,,,,
