商品ｺｰﾄﾞ,商品名,商品名索引,単位,得意先(検索)ｺｰﾄﾞ,得意先(検索)名,,
720092I022003,20054000硝子受台8*25*40 A-40(日東) I,A-40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I022004,20054000硝子受台8*25*40 A-40(日東) O,A-40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I023001,20054100硝子受台8*25*65 A-65(ﾃｻ) I,A-65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I023002,20054100硝子受台8*25*65 A-65(ﾃｻ) O,A-65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I024001,20054200硝子受台8*25*120 A-120(ﾃｻ) I,A-120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I024002,20054200硝子受台8*25*120 A-120(ﾃｻ) O,A-120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I025001,20054300硝子受台8*29*40 B-40(ﾃｻ) I,B-40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I025002,20054300硝子受台8*29*40 B-40(ﾃｻ) O,B-40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I025003,20054300硝子受台8*29*40 B-40(日東) I,B-40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I025004,20054300硝子受台8*29*40 B-40(日東) O,B-40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I026001,20054400硝子受台8*29*65 B-65(ﾃｻ) I,B-65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I026002,20054400硝子受台8*29*65 B-65(ﾃｻ) O,B-65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I026003,20054400硝子受台8*29*65 B-65(日東) I,B-65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I026004,20054400硝子受台8*29*65 B-65(日東) O,B-65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I027001,20054500硝子受台8*29*120 B-120(ﾃｻ) I,B-120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I027002,20054500硝子受台8*29*120 B-120(ﾃｻ) O,B-120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I028001,20054600硝子受台8*33*40 C-40(ﾃｻ) I,C-40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I028002,20054600硝子受台8*33*40 C-40(ﾃｻ) O,C-40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I028003,20054600硝子受台8*33*40 C-40(日東) I,C-40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I028004,20054600硝子受台8*33*40 C-40(日東) O,C-40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I029001,20054800硝子受台8*33*65 C-65(ﾃｻ) I,C-65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I029002,20054800硝子受台8*33*65 C-65(ﾃｻ) O,C-65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I029003,20054800硝子受台8*33*65 C-65(日東) I,C-65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I030001,20054700硝子受台8*33*120 C-120(ﾃｻ) I,C-120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I030002,20054700硝子受台8*33*120 C-120(ﾃｻ) O,C-120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I030003,20054700硝子受台8*33*120 C-120日東 I,C-120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I031001,20054900引違硝子受台D-40(ﾃｻ)EH591-W1,D-40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I031002,20054900引違硝子受台D-40(日東)EH591,D-40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I031003,20054900引違硝子受台D-40(ﾃｻ) 東北,D-40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I032001,20100000ﾄﾘﾌﾟﾙ硝子受台厚27 8*27*40　N,8*27*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I032002,20100100ﾄﾘﾌﾟﾙ硝子受台厚27 8*27*65 N,8*27*65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I032003,20100200ﾄﾘﾌﾟﾙ硝子受台厚27 8*27*120 N,8*27*120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I033001,20100300ﾄﾘﾌﾟﾙ39用硝子受台 5*41*40 N,8*27*120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I033002,20100400ﾄﾘﾌﾟﾙ39用硝子受台 5*41*65 N,8*27*120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I033003,20100500ﾄﾘﾌﾟﾙ39用硝子受台 5*41*120 N,8*27*120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I034001,207 結露受け(白)L=1000,ｹﾂﾛｳｸｹ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I035001,20A17000防火ｶﾞﾗｽ受台下用5*27*20(ﾃｻ),5*27*20,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I035002,20A17000防火ｶﾞﾗｽ受台下用5*27*20(日東,5*27*20,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I035003,20A17100防火ｶﾞﾗｽ受台下用5*27*25(ﾃｻ),5*27*25,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I035004,20A17100防火ｶﾞﾗｽ受台下用5*27*25(日東,5*27*25,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I035005,20A17200防火ｶﾞﾗｽ受台下用5*27*95(ﾃｻ),5*27*95,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I035006,20A17200防火ｶﾞﾗｽ受台下用5*27*95(日東,5*27*95,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I036001,20A17300防火ｶﾞﾗｽ受台縦用7*27*25(ﾃｻ),7*27*25,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I036002,20A17300防火ｶﾞﾗｽ受台縦用7*27*25(日東,7*27*25,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I037001,20A17500上縦硝子受台8*27*20 C2 ﾃｻ,8*27*20,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I037002,20A17500上縦硝子受台8*27*20 C2 日東,8*27*20,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I037003,20A17400上縦硝子受台8*27*40 C2 ﾃｻ,8*27*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I037004,20A17400上縦硝子受台8*27*40 C2 日東,8*27*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I038001,20A17600防火ｶﾞﾗｽ受台縦用7*25*40(ﾃｻ,7*25*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I038002,20A17600防火ｶﾞﾗｽ受台縦用7*25*40日東,7*25*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I039001,20A17700防火用ｶﾞﾗｽ受台5*33*20日東 I,5*33*20,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I039002,20A17700防火用ｶﾞﾗｽ受台5*33*20日東 O,5*33*20,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I039003,20A17800防火用ｶﾞﾗｽ受台5*33*40日東 I,5*33*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I039004,20A17800防火用ｶﾞﾗｽ受台5*33*40日東 O,5*33*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I039005,20A17900防火用ｶﾞﾗｽ受台5*33*65日東 I,5*33*65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I039006,20A17900防火用ｶﾞﾗｽ受台5*33*65日東 O,5*33*65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I040001,20F00400旧戸当り気密材(中空) I,ｷｭｳﾄｱﾀﾘ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I040002,20F00400旧戸当り気密材(中空)　O,ｷｭｳﾄｱﾀﾘ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I040003,20F00400旧戸当り気密材(中空)ｼﾘｺﾝ I,ｷｭｳﾄｱﾀﾘ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I040004,20F00400旧戸当り気密材(中空)ｼﾘｺﾝ O,ｷｭｳﾄｱﾀﾘ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I041001,20H17000防火ｶﾞﾗｽ受台下用5*27*20(ﾃｻ)H,5*27*20,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I041002,20H17100防火ｶﾞﾗｽ受台下用5*27*25(ﾃｻ)H,5*27*25,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I041003,20H17200防火ｶﾞﾗｽ受台下用5*27*95(ﾃｻ)H,5*27*95,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I042001,32005000ｶﾞﾗｽ押えﾋﾞｰﾄﾞ(NA)3ﾐﾘ 軟質 I,NA3ﾐﾘ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I042002,32005000ｶﾞﾗｽ押えﾋﾞｰﾄﾞ(NA)3ﾐﾘ 軟質 O,NA3ﾐﾘ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I043001,32005100引違い用ｶﾞﾗｽ押えﾋﾞｰﾄﾞ(3)-A I,ｶﾞﾗｽｵｻｴﾋﾞｰ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I043002,32005100引違い用ｶﾞﾗｽ押えﾋﾞｰﾄﾞ(3)-A O,ｶﾞﾗｽｵｻｴﾋﾞｰ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I044001,32005200引違いﾄﾘﾌﾟﾙ用ｶﾞﾗｽ押えﾋﾞｰﾄﾞIX,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I044002,32005200引違いﾄﾘﾌﾟﾙ用ｶﾞﾗｽ押えﾋﾞｰﾄﾞOX,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I044003,32005200引違いﾄﾘﾌﾟﾙ用ﾋﾞｰﾄﾞ (200m) I,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I044004,32005200引違いﾄﾘﾌﾟﾙ用ﾋﾞｰﾄﾞ (200m) O,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I045001,32007000NA硝子受台 5*20*40(ﾃｻ) I,5*20*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I045002,32007000NA硝子受台 5*20*40(ﾃｻ) O,5*20*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I045003,32007000NA硝子受台5*20*40(日東) I,5*20*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I045004,32007000NA硝子受台5*20*40(日東) O,5*20*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I045005,ｶﾞﾗｽ受台5x20x30(ﾌｧｰｽ用)ﾃｻ I,5x20x30,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I045006,ｶﾞﾗｽ受台5×20×30(ﾌｧｰｽ用)日東　I,5x20x30,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I046001,32007100NA硝子受台 7*22*40(ﾃｻ) I,7*22*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I046002,32007100NA硝子受台 7*22*40(ﾃｻ) O,7*22*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I046003,32007100NA硝子受台 7*22*40(日東) I,7*22*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I046004,32007100NA硝子受台 7*22*40(日東) O,7*22*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I047001,32025000NA下框ﾊﾟｲﾌﾟ(窓),NAｼﾀｶﾏﾁ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I047002,32025100NA下框ﾊﾟｲﾌﾟ(ﾃﾗｽ),NAｼﾀｶﾏﾁ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I048001,32A05000引違硝子受台5*27*40(ﾃｻ)EH591,5*27*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I048002,32A05000引違硝子受台5*27*40(日東)EH,5*27*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I048003,32A05100引違硝子受台5*27*65(ﾃｻ)EH591,5*27*65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I048004,32A05100引違硝子受台5*27*65(日東)EH,5*27*65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I048005,32A05200引違硝子受台5*27*120(ﾃｻ)EH,5*27*120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I048006,32A05200引違硝子受台5*27*120(日東)EH,5*27*120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I049001,32A11400ｶﾞﾗｽ受台防火下框用7*23*20(ﾃｻ,7*23*20,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I049002,32A11400ｶﾞﾗｽ受台防火下框用7*23*20(ﾃｻ,7*23*20,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I049003,32A11100ｶﾞﾗｽ受台防火下框用7*23*40(ﾃｻ,7*23*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I049004,32A11100ｶﾞﾗｽ受台防火下框用7*23*40(ﾃｻ,7*23*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I049005,32A11200ｶﾞﾗｽ受台防火下框用7*23*60(ﾃｻ,7*23*60,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I049006,32A11200ｶﾞﾗｽ受台防火下框用7*23*60(ﾃｻ,7*23*60,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I049007,32A11300ｶﾞﾗｽ受台防火下框用7*23*120ﾃｻ,7*23*120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I049008,32A11300ｶﾞﾗｽ受台防火下框用7*23*120ﾃｻ,7*23*120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I050001,32D00000引違硝子受台7*27*40(ﾃｻ)EH591,7*27*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I050002,32D00000引違硝子受台7*27*40(日東)EH,7*27*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I051001,32D00100引違硝子受台8*27*40(ﾃｻ)EH591,8*27*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I051002,32D00100引違硝子受台8*27*40(日東)EH,8*27*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I051003,32D00200引違硝子受台8*27*65(ﾃｻ)EH591,8*27*65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I051004,32D00200引違硝子受台8*27*65(日東)EH,8*27*65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I051005,32D00300引違硝子受台8*27*120(ﾃｻ)EH,8*27*120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I051006,32D00300引違硝子受台8*27*120(日東)EH,8*27*120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I052001,32D00400引違ｶﾞﾗｽ受台(硬質)5*27*40 N,5*27*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I053001,32D00500引違ｶﾞﾗｽ受台(硬質)7*27*40 N,7*27*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I054001,32D00600引違ｶﾞﾗｽ受台(硬質)8*27*40 N,8*27*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I054002,32D00700引違ｶﾞﾗｽ受台(硬質)8*27*65 N,8*27*65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I054003,32D00800引違ｶﾞﾗｽ受台(硬質)8*27*120 N,8*27*120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I055001,32H05000引違硝子受台5*27*40(ﾃｻ) HRD,5*27*40,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I055002,32H05100引違硝子受台5*27*65(ﾃｻ) HRD,5*27*65,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I055003,32H05200引違硝子受台5*27*120(ﾃｻ) HRD,5*27*120,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I056001,33900000ｶﾞﾗｽ押えﾋﾞｰﾄﾞ4.5mm-C 小ﾛｯﾄ,ｶﾞﾗｽｵｻｴ,式,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I057001,34008100US下框ﾊﾟｲﾌﾟ L=25 本社,USｼﾀｶﾏﾁ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I058001,34A08000ｶﾞﾗｽ受台防火縦枠用7*22*25(ﾃｻ,7*22*25,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I058002,34A08000ｶﾞﾗｽ受台防火縦枠用7*22*25(ﾃｻ,7*22*25,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I059001,40306000 方立補強材 L=1010,ﾎｳﾀﾃﾎｷｮｳ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I059002,40306100 方立補強材 L=1060,ﾎｳﾀﾃﾎｷｮｳ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I059003,40306200 方立補強材 L=1107,ﾎﾀﾃﾎｷｮｳ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I059004,40306300 方立補強材 L=1210,ﾎﾀﾃﾎｷｮｳ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I059005,40306400 方立補強材 L=1260,ﾎﾀﾃﾎｷｮｳ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I059006,40306500 方立補強材 L=1410,ﾎﾀﾃﾎｷｮｳ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I059007,方立補強材,ﾎｳﾀﾃﾎｷｮｳ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I060001,MCﾀｲﾌﾟ戸当り気密材A　道内,MCﾄｱﾀﾘ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I060002,MCﾀｲﾌﾟ戸当り気密材A　道外,MCﾄｱﾀﾘ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I061001,MCﾀｲﾌﾟ枠気密材6mm　L=2250,MCﾜｸｷﾐﾂｻﾞｲ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I062001,K0013000 MK2特窓ﾍﾞｰｽｽﾍﾟｰｻｰC,ﾍﾞｰｽｽﾍﾟｰｻｰ,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I063001,ｶﾞﾗｽ受け台 5x33x40(日東),ｶﾞﾗｽｳｹﾀﾞｲ,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I063002,ｶﾞﾗｽ受け台 5x33x65(日東),ｶﾞﾗｽｳｹﾀﾞｲ,個,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I064001,ﾊﾞｽﾕﾆｯﾄｱﾀｯﾁﾒﾝﾄ,ﾊﾞｽﾕﾆｯﾄ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I065001,戸当気密材 中空太(補修)13mm(9)栗･東,ﾄｱﾀﾘﾁｭｳｸｳ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I066001,戸当気密材 中空太(補修用)7mm,ﾄｱﾀﾘ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I067001,戸当気密材(補修用)8*5(5),ﾄｱﾀﾘ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I068001,戸当気密材(補修用)9mm(13mm),ﾄｱﾀﾘ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I069001,戸当気密材(補修用)ｴﾗｽﾄﾏｰ8φ　道内,ﾄｱﾀﾘ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I069002,戸当気密材(補修用)ｴﾗｽﾄﾏｰ8φ　道外,ﾄｱﾀﾘ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I070001,20043100戸当り気密材 框用 ひれ式 内,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I070002,20043100戸当り気密材 框用 ひれ式 外,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720221D001001,ｺｰﾅｰｾﾞﾂｴﾝ,ｺｰﾅｰｾﾞﾂｴﾝ,m,,,"
",
72030528002,DB2-28-34170 ｸﾞﾚｰ,2-28-34170,㎏,,,"
",
721092I001005,PCﾊﾟｲﾌﾟ φ4.2xφ6.0x1000L,PCﾊﾟｲﾌﾟ,本,721102,清水製作所,"
",
721152I001001,ｿｰﾗｰﾊﾟﾈﾙ樹脂ﾌﾚｰﾑ　250ｍ以下の注文,ｿｰﾗｰﾊﾟﾈﾙｼﾞ,式,721152,シリコンプラス,"
",
721152I001002,ｿｰﾗｰﾊﾟﾈﾙ 樹脂ﾌﾚｰﾑ 受注ﾛｯﾄ:1000m以上,ｿｰﾗｰﾊﾟﾈﾙ ｼ,ｍ,721152,シリコンプラス,"
",
721152I002001,端面45度切断加工費,ｿｰﾗｰﾊﾟﾈﾙｼﾞ,本,721152,シリコンプラス,"
",
721162I001001,ｺﾝﾍﾞﾔｻｲﾄﾞｽｶｰﾄ(お引き取り),,ｍ,721162,白石製作所㈱,"
",
721162I001002,ｺﾝﾍﾞﾔｻｲﾄﾞｽｶｰﾄ(配送),,ｍ,721162,白石製作所㈱,"
",
723022I001001,SUG-01,,ｍ,723022,積水化学北海道,"
",
723022I002001,ｱﾝｸﾞﾙﾋﾟｰｽ(ｼﾞｮｳｹﾞﾖｳ) 色物,ｱﾝｸﾞﾙﾋﾟｰｽ,本,723022,積水化学北海道,"
",
723022I002002,ｱﾝｸﾞﾙﾋﾟｰｽ(ｼﾞｮｳｹﾞﾖｳ)表面保護付,ｱﾝｸﾞﾙﾋﾟｰｽ,本,723022,積水化学北海道,"
",
723022I003001,ｸﾞﾚｰｼﾞﾝｸﾞﾋﾞｰﾄﾞ($GBMSL2),,ｍ,723022,積水化学北海道,"
",
723022I003002,ｸﾞﾚｰｼﾞﾝｸﾞﾋﾞｰﾄﾞ($GBMTR3),,ｍ,723022,積水化学北海道,"
",
723022I004001,ｺｰﾅｰｶﾞｽｹｯﾄ($CGA-01),,ｍ,723022,積水化学北海道,"
",
723022I004002,ｺｰﾅｰｶﾞｽｹｯﾄ(運賃なし),,ｍ,723022,積水化学北海道,"
",
723022I004003,ｺｰﾅｰｶﾞｽｹｯﾄ(運賃込み),,ｍ,723022,積水化学北海道,"
",
723022I005001,ﾊｷﾀﾞｼｱﾝｸﾞﾙﾋﾟｰｽ ﾎﾜｲﾄ,ﾊｷﾀﾞｼ,本,723022,積水化学北海道,"
",
723022I005002,ﾊｷﾀﾞｼｱﾝｸﾞﾙﾋﾟｰｽ 色物,ﾊｷﾀﾞｼ,本,723022,積水化学北海道,"
",
723022I005003,ﾊｷﾀﾞｼｱﾝｸﾞﾙﾋﾟｰｽ 表面保護付　ﾎﾜｲﾄ,ﾊｷﾀﾞｼ,本,723022,積水化学北海道,"
",
723022I005004,ﾊｷﾀﾞｼｱﾝｸﾞﾙﾋﾟｰｽ 表面保護付　色物,ﾊｷﾀﾞｼ,本,723022,積水化学北海道,"
",
723022I006001,縁材(ｺの字　巾6mm) L=2000 白,ｺﾉｼﾞ,本,723022,積水化学北海道,"
",
724032I001001,単板ﾓｰﾙ材 9.2*14.0,ﾀﾝﾊﾟﾝﾓｰﾙ,本,724032,空知単板工業,"
",
724032I002001,特殊山形樹脂ﾓｰﾙ ｳｫｰﾙﾅｯﾄ,ﾄｸｼｭﾔﾏｶﾞﾀ,本,724032,空知単板工業,"
",
724032I002002,特殊山形樹脂ﾓｰﾙ ﾎﾜｲﾄｵｰｸ,ﾄｸｼｭﾔﾏｶﾞﾀ,本,724032,空知単板工業,"
",
732061I001001,PEｺﾉｼﾞｶﾊﾞｰ ｵﾚﾝｼﾞ 2100mm,PEｺﾉｼﾞｶﾊﾞｰ,,732061,槌屋 宇都宮,"
",
732062I001001,PEｺの字ｶﾊﾞｰ L=2100mm 200本～,PE,本,732061,槌屋 宇都宮,"
",
732062I002001,粘着付きｴｯｼﾞｶﾊﾞｰ 1mm用 透明,ﾈﾝﾁｬｸﾂｷｴｯｼ,ｍ,732061,槌屋 宇都宮,"
",
734101D001001,DM-16 ｲﾝﾅｰﾁｭｰﾌﾞ L=221*,,,734101,東北江南,"
",
734101D001002,DM-18 ｲﾝﾅｰﾁｭｰﾌﾞ L=258 ＊,,,734101,東北江南,"
",
734101D002001,240用ｲﾝﾅｰﾁｭｰﾌﾞ L=240*,,,734101,東北江南,"
",
734101D002002,260用ｲﾝﾅｰﾁｭｰﾌﾞ L=84 *,,,734101,東北江南,"
",
734101D002003,260用ｲﾝﾅｰﾁｭｰﾌﾞ L=210 *,,,734101,東北江南,"
",
734101D003001,Rｷｬﾘｰ用ｲﾝﾅｰﾁｭｰﾌﾞ(赤) L=1028*,,,734101,東北江南,"
",
734101D003002,Rｷｬﾘｰ用ｲﾝﾅｰﾁｭｰﾌﾞ(青) L=1028*,,,734101,東北江南,"
",
734101D004001,ﾃﾞﾐｯｸｽ250ｲﾝﾅｰﾁｭｰﾌﾞ L=63,,,734101,東北江南,"
",
734101D004002,ﾃﾞﾐｯｸｽ250ｲﾝﾅｰﾁｭｰﾌﾞ L=169,,,734101,東北江南,"
",
734101D005001,PVCｱｲﾎﾞﾘｰﾄｯﾃ L=3000,,,734101,東北江南,"
",
734101D006001,PEﾊﾟｲﾌﾟﾅﾁｭﾗﾙ φ31x37.5x1890L,,,734101,東北江南,"
",
734101D007001,半硬質PVC透明ﾚｰﾙ,,,734101,東北江南,"
",
734101D008001,PCｶﾊﾞｰ NS-20用 L=990 *I*,,,734101,東北江南,"
",
734101I001001,NS-20用PCｶﾊﾞｰ,NS-20 PC,本,734101,東北江南,"
",
734132I001001,ｴﾝﾋﾞ枠 孵化槽ﾊﾟｯｷﾝｸﾞL=3050,ﾌｶｿｳﾊﾟｯｷﾝ,本,734132,東洋化工(株),"
",
734132I001002,孵化層ﾊﾟｯｷﾝ L=3050　400本/回,ﾌｶｿｳﾊﾟｯｷﾝ,本,734132,東洋化工(株),"
",
734141D001001,6932 硬質白ﾊﾟｲﾌﾟ 6x8x1250L,,,13911,東洋ｼｬｯﾀｰ㈱ｵｵｼﾏ事業,"
",
734311D001001,ﾌｪﾝﾀﾞｰｶﾞｰﾄﾞ L=1150 黒*,,,734311,㈲ﾄﾗｯﾄﾞ,"
",
734311D001002,ﾌｪﾝﾀﾞｰｶﾞｰﾄﾞ L=1400 黒*,,,734311,㈲ﾄﾗｯﾄﾞ,"
",
734311D002001,ﾌｪﾝﾀﾞｰﾊﾟｯｷﾝ(2),,,734311,㈲ﾄﾗｯﾄﾞ,"
",
734311D003002,ｽﾋﾟｰｶｰ用ｹﾞﾙ成形品 7.5x8.5,,,734311,㈲ﾄﾗｯﾄﾞ,"
",
740081D001001,1mm粘着付きｴｯｼﾞｶﾊﾞｰ 黒,ﾂｷ  ｸﾛ,M,740081,中西ﾌﾟﾗｽﾁｯｸ,"
",
