仕入先ｺｰﾄﾞ,仕入先名１,仕入先名２,仕入先名略称,仕入先名索引,郵便番号,住所１住所２,電話番号,ＦＡＸ番号
720285,三興商会株式会社,,三興商会,ｻﾝｺｳｺｳｼｮｳｶ,561-0851,大阪府豊中市服部元町2-8-4,06-6866-7700,06-6866-7701
720305,三晃ﾃｲｴﾋﾟｰ株式会社,,三晃ﾃｲｴﾋﾟｰ//,ｻﾝｺｳﾃｲｴﾋﾟｰ,577-0809,大阪府東大阪市永和2丁目2-34,06-6723-3311,06-6723-3378
720316,三昌商事株式会社,,三昌商事,ｻﾝｼｮｳｼｮｳｼﾞ,064-0805,札幌市中央区南5条西12丁目,011-561-4108,011-561-4110
720325,三泉工業株式会社,,三泉工業//,ｻﾝｾﾝｺｳｷﾞｮｳ,577-0025,東大阪市新家2丁目7-13,06-6781-3003,06-6781-3043
720335,ｻﾝﾄｯｸｽ株式会社,,ｻﾝﾄｯｸｽ,ｻﾝﾄｯｸｽ,,東京都西新橋1-4-5 ﾄｸﾔﾏﾋﾞﾙ別館2,03-3597-5057,03-3597-5050
720386,株式会社ｻﾆｸﾘｰﾝ北海道,,ｻﾆｸﾘｰﾝ北海道,ｻﾆｸﾘｰﾝ,062-0933,札幌市豊平区平岸3条9丁目15-24,011-820-2920,
720405,株式会社澤村エアーサービス,,澤村エアーサービス,ｻﾜﾑﾗ,580-0046,大阪府松原市三宅中7-1-10,072-330-3261,072-330-3263
720415,さくら加工物流,,さくら加工物流,ｻｸﾗｶｺｳ,575-0063,大阪府四条畷市清瀧５−２,072-877-6627,072-877-6628
721015,株式会社ｼﾞｰｴﾑｴﾝｼﾞﾆｱﾘﾝｸﾞ,,ｼﾞｰｴﾑｴﾝｼﾞﾆｱﾘﾝｸﾞ,ｼﾞｰｴﾑｴﾝｼﾞﾆ,222-0033,横浜市港北区新横浜2-14-27新横浜第一ﾋﾞﾙﾃﾞｨﾝｸﾞ,06-6448-1387,06-6448-1388
721016,使用ｼﾅｲ,,使用ｼﾅｲ,ｼﾞｰｴﾑｴﾝｼﾞﾆ,222-0033,横浜市港北区新横浜2丁目14-27新横浜第一ﾋﾞﾙﾃﾞｨﾝｸﾞ,045-472-6819,045-473-6117
721065,司法行政書士 西村昭一,,司法行政書士西村昭一,ｼﾎｳﾆｼﾑﾗ,567-0888,大阪府茨木市駅前3丁目13,0726-27-2233,
721085,株式会社ｼﾞｬﾊﾟﾝﾃｸﾆｶﾙ,,ｼﾞｬﾊﾟﾝﾃｸﾆｶﾙ,ｼﾞｬﾊﾟﾝﾃｸﾆｶ,574-0056,大阪府大東市新田中町2-17,072-874-8055,072-872-6833
721091,システムクリエイト　■,,システムクリエイト　■,,,,,
721095,昭永緑化株式会社,,昭永緑化,ｼｮｳｴｲﾘｮｯｶ,664-0029,伊丹市中野北3丁目1-41,072-779-6540,072-777-7038
721102,清水製作所■,,清水製作所■,,,,,
721105,税理士法人　城会計事務所,,城会計事務所,ｼﾛｶｲｹｲｼﾞﾑｼ,573-0027,枚方市大垣内町1丁目3番1号ﾏｲﾝﾄﾞﾋﾞﾙ4F,072-844-4440,072-844-4141
721126,公益社団法人 石狩市ｼﾙﾊﾞｰ人材ｾﾝﾀｰ,,石狩市ｼﾙﾊﾞｰ人材ｾﾝﾀｰ,ｼﾙﾊﾞｰｼﾞﾝｻﾞ,061-3244,石狩市新港南1丁目22番地66,0133-64-7771,0133-64-7774
721135,使用ｼﾅｲ,,使用ｼﾅｲ,ｼｮｳﾜｺｳｻﾝ,060-0002,北海道札幌市中央区北二条西3丁目敷島ﾋﾞﾙ,011-231-2428,011-221-0856
721136,昭和興産株式会社,北海道営業所,昭和興産,ｼｮｳﾜｺｳｻﾝ,060-0002,札幌市中央区北2条西3丁目1番地敷島ﾋﾞﾙ4階,011-231-2428,011-221-0856
721146,ｼﾝｾﾒｯｸ株式会社,,ｼﾝｾﾒｯｸ株式会社,ｼﾝｾﾒｯｸ,061-3241,北海道石狩市新港西2丁目788-7,0133-75-6600,0133-75-6611
721156,親栄電気工事株式会社,,親栄電気工事,ｼﾝｴｲﾃﾞﾝｷ,003-0002,札幌市白石区東札幌2条5丁目2-26,011-811-9375,
721166,使用ｼﾅｲ,名古屋 化成品,使用ｼﾅｲ,ｼﾝｴﾂﾎﾟﾘﾏｰ,331-9510,埼玉県さいたま市北区吉野町1-406-1,048-652-5920,048-652-5922
721175,信越ﾎﾟﾘﾏｰ株式会社 名古屋支店,,信越ﾎﾟﾘﾏｰ 名古屋支店,ｼﾝｴﾂﾎﾟﾘﾏｰﾅ,450-0002,名古屋市中村区名駅4-26-25名古屋大商ﾋﾞﾙ (片田様) 化成品,052-581-4233,052-581-2921
721185,株式会社ｼﾝｸ･ﾍﾞｽﾄ,,ｼﾝｸ･ﾍﾞｽﾄ,ｼﾝｸﾍﾞｽﾄ,543-0001,大阪市天王寺区上本町6-9-14,06-6774-7789,06-6774-7790
721196,新ｹﾐｶﾙ商事株式会社,,新ｹﾐｶﾙ商事,ｼﾝｹﾐｶﾙ,060-0005,札幌市中央区北5条西5丁目2-5信金中央金庫ﾋﾞﾙ7F,011-222-7708,011-222-7675
721265,信光電気計装株式会社,,信光電気計装,ｼﾝﾜﾃﾞﾝｷ,555-0013,大阪府大阪市西淀川区千舟2-12-27,06-6474-1760,06-6474-2650
721275,有限会社芝西特殊技研,,有限会社芝西特殊技研,ｼﾊﾞﾆｼﾄｸｼｭ,547-0002,大阪市平野区加美東1-5-44,06-6792-6904,06-6792-6905
722016,ｽﾞｲﾎｰ産業株式会 使用禁止,,ｽﾞｲﾎｰ産業,ｽﾞｲﾎｰ,101-0054,東京都千代田区神田錦町1丁目12番大手町宝栄ﾋﾞﾙ,03-3294-1791,03-3294-1794
722021,須藤研究所　■,,須藤研究所　■,,,,,
722035,鈴五商事株式会社,,鈴五商事//,ｽｽﾞｺﾞｼｮｳｼﾞ,530-0043,大阪市北区天満4丁目3番15号,06-6352-3051,06-6352-3973
722045,住友ﾅｺﾌｫｰｸﾘﾌﾄ販売株式会社,,住友ﾅｺﾌｫｰｸﾘﾌﾄ販売,ｽﾐﾄﾓﾌｫｰｸ,581-0067,八尾市神武町1-4,072-993-0401,072-993-0444
722076,住友商事株式会社 中部,,住友商事中部,ｽﾐﾄﾓｼｮｳｼﾞ,,,,
723035,西濃運輸株式会社,,西濃運輸,ｾｲﾉｳｳﾝﾕ,574-0051,大東市新田境町1-26,072-871-0252,072-872-0647
723046,西武運輸株式会社 北海道航空支店,,西武運輸 北海道航空,ｾｲﾌﾞ,068-0000,岩見沢市5条東13丁目18番地,0126-22-4611,0126-22-9600
723055,西武運輸株式会社,,西武運輸,ｾｲﾌﾞｳﾝﾕ,571-0004,大阪府門真市大字上馬伏335,072-882-3341,072-882-3344
723065,西武運輸株式会社 航空,,西武運輸 航空,ｾｲﾌﾞｳﾝﾕｺｳｸ,571-0006,大阪府門真市大字上馬伏440-1,072-885-4671,
723086,積水化学北海道株式会社,,積水化学北海道,ｾｷｽﾞｲｶｶﾞｸ,068-8668,岩見沢市東町234番地,0126-22-4541,0126-23-0340
723106,ｾｺﾑ株式会社,,ｾｺﾑ,ｾｺﾑ,063-0051,札幌市西区宮の沢1条3丁目12-15,011-666-6411,
723116,株式会社ｾﾞﾆｱﾃｯｸｽ,,ｾﾞﾆｱﾃｯｸｽ,ｾﾞﾆｱﾃｯｸｽ,079-1264,赤平市茂尻旭町1丁12番地1,0125-34-2221,0125-34-2220
723135,ｾﾝﾀﾞｲ工業株式会社,,ｾﾝﾀﾞｲ工業,ｾﾝﾀﾞｲｺｳｷﾞｮ,555-0011,大阪市西淀川区竹島2-4-24,06-6478-8088,06-6478-8077
723145,ｾﾞﾝﾉ株式会社,,ｾﾞﾝﾉ,ｾﾞﾝﾉ,550-0002,大阪府大阪市西区江戸堀1-20-21,06-6443-4461,06-6443-4468
723155,千里工業株式会社,,千里工業,ｾﾝﾘｺｳｷﾞｮｳ,578-0901,東大阪市加納8-34-21,072-873-7731,072-873-7734
724015,　寄本武（ｿﾌﾄｱﾝﾄﾞﾊｰﾄﾞ,,寄本武（ｿﾌﾄｱﾝﾄﾞﾊｰﾄﾞ,ﾖﾘﾓﾄ,640-8412,和歌山市狐島611-27,073-452-4764,073-452-4764
730015,第一貨物株式会社,,第一貨物,ﾀﾞｲｲﾁｶﾓﾂ,571-0045,門真市殿島町4番1号,06-6909-0380,06-6909-0390
730036,株式会社大真機工,,大真機工,ﾀﾞｲｼﾝｷｺｳ,006-0805,小樽市銭函5丁目57-2,0133-62-9391,0133-62-9393
730076,高井田工具,,高井田工具,ﾀｶｲﾀﾞｺｳｸﾞ,577-0056,東大阪市長堂2丁目29-9,06-6782-7677,
730092,株式会社高木金型製作所,,高木金型製作所,ﾀｶｷﾞｶﾅｶﾞﾀ,061-3281,石狩市花畔1条2丁目12番6号,0133-62-9216,0133-62-9217
730145,ﾀﾏｷｵｰﾄ販売株式会社,,ﾀﾏｷｵｰﾄ販売,ﾀﾏｷｵｰﾄﾊﾝﾊﾞ,571-0012,門真市江端町1番7号,072-884-7778,072-884-7768
730155,株式会社たまゆら,,たまゆら,ﾀﾏﾕﾗ,573-0094,枚方市南中振3丁目5-1,072-834-2221,072-834-0091
730201,㈱松山　■,,㈱松山　■,ｶﾌﾞﾏﾂﾔﾏｼｶｸ,,,,
731015,株式会社中越黒鉛工業所,,中越黒鉛工業所,ﾁｭｳｴﾂｺｸｴﾝ,559-0026,大阪市住之江区平林北1-2-27,06-6681-2555,06-6681-6490
732026,有限会社対馬,,対馬,ﾂｼﾏ,072-0006,美唄市東5条北8丁目3-4,01266-4-4293,01266-3-3252
732051,株式会社槌屋,,槌屋,ﾂﾁﾔ,532-0002,大阪市淀川区東三国2-38-17,06-6394-5455,06-6393-5457
732062,株式会社槌屋 宇都宮,,槌屋,ﾂﾁﾔ,321-0964,栃木県宇都宮市駅前通り1-3-1,028-600-0611,028-600-0616
732064,株式会社槌屋 東京,,槌屋 東京,ﾂﾁﾔ,105-0012,東京都港区芝大門2-5-3,,03-5402-5470
732065,株式会社つつみ屋,,つつみ屋,ﾂﾂﾐﾔ,571-0017,門真市四宮5丁目6-6,072-887-2238,072-887-5550
732075,ﾂﾔﾏ産業(ﾂﾔﾏﾀｹｼ),,ﾂﾔﾏ産業//(ﾂﾔﾏﾀｹｼ),ﾂﾔﾏｻﾝｷﾞｮｳ,577-0065,東大阪市高井田中3丁目12-5,06-4308-8221,06-4308-8220
732081,槌屋ﾔｯｸ株式会社,商品部,槌屋ﾔｯｸ,ﾂﾁﾔﾔｯｸ,444-8516,愛知県岡崎市日名西町３,0564-23-8271,0564-23-0585
733011,ﾃﾞｻﾞｲﾝﾎﾟｹｯﾄ■,,ﾃﾞｻﾞｲﾝﾎﾟｹｯﾄ■,,,,,
733021,ﾃｨｰｴｰｹﾐｶﾙ株式会社■,,ﾃｨｰｴｰｹﾐｶﾙ株式会社■,,,,,
733025,株式会社TKC,,TKC,ﾃｨｹｲｼｰ,162-8585,東京都新宿区揚場調2番1号,03-3266-9225,03-3266-9167
733056,株式会社ﾃｻﾞｯｸ,札幌営業所,ﾃｻﾞｯｸ 札幌営業所,ﾃｻﾞｯｸ,001-0023,札幌市北区北23条西7丁目1-33,011-788-8400,011-728-0033
734016,当栄商事株式会社,,当栄商事,ﾄｳｴｲｼｮｳｼﾞ,569-1116,大阪府高槻市白梅町5番-15-4010,072-689-1177,072-689-1188
734046,株式会社道央ﾒﾀﾙ,,道央ﾒﾀﾙ,ﾄﾞｳｵｳﾒﾀﾙ,0720016,美唄市東5条南6丁目7番28号,0126-62-6921,0126-62-6870
734055,東京ｱｲﾃﾞｱﾙ株式会社,,東京ｱｲﾃﾞｱﾙ,ﾄｳｷｮｳｱｲﾃﾞｱ,135-0031,東京都江東区佐賀1-18-10 佐賀町ﾋﾞﾙ第二別館5F,03-5646-2030,03-6458-8722
734072,株式会社東商ｾﾝﾄﾗﾙ,,東商ｾﾝﾄﾗﾙ,ﾄｳｼｮｳｾﾝﾄﾗﾙ,101-0054,東京都千代田区神田錦町3-5-1興和一橋ﾋﾞﾙ2F化成品建材部副資材,03-3259-7465,
734106,道都化学産業株式会社,,道都化学産業,ﾄﾞｳﾄｶｶﾞｸ,060-0908,札幌市東区北8条東1丁目1番40号道都ﾋﾞﾙ4F,011-712-2311,011-751-4241
734115,東邦ｺﾞﾑ工業株式会社,,東邦ｺﾞﾑ工業,ﾄｳﾎｳｺﾞﾑｺﾞｳ,924-8577,石川県白蚕糸山市田中町315,076-276-4171,076-276-4661
734131,トラスコ中山㈱　■,,トラスコ中山㈱　■,ﾄﾗｽｺﾅｶﾔﾏｶﾌ,,,,
734151,東京計器㈱　■,,東京計器㈱,,,,,
734166,東洋商事株式会社,,東洋商事,ﾄｳﾖｳｼｮｳｼﾞ,060-0005,札幌市北区北57条西1620丁目2-9,011-631-2181,011-641-0624
734181,東ﾘ株式会社,購買部,東ﾘ,ﾄｳﾘ,664-8610,兵庫県伊丹市東有岡５丁目１２５番地,06-6494-6606,06-6491-4648
734206,株式会社ﾄｰﾓｸ,札幌支店,ﾄｰﾓｸ 札幌支店,ﾄｰﾓｸ,061-3271,小樽市銭函4丁目157-2,0133-72-5151,0133-41-2090
734215,十川産業株式会社,大阪支店,十川産業 大阪支店,ﾄｶﾞﾜｻﾝｷﾞｮｳ,550-0015,大阪市西区南堀江4-1-18,06-6538-5202,06-6538-5206
734225,ﾄｯﾌﾟﾏﾝ工業株式会社,,ﾄｯﾌﾟﾏﾝ工業,ﾄｯﾌﾟﾏﾝｺｳｷﾞ,577-0006,大阪府東大阪市楠根2-11-36,06-6744-3356,06-6744-3200
734235,ﾄﾖﾀL&F近畿株式会社,,ﾄﾖﾀL&F近畿,ﾄﾖﾀｴﾙｱﾝﾄﾞ,572-0037,大阪府寝屋川市葛原新町5-4,072-829-5311,072-827-8241
734245,株式会社豊田商会,,豊田商会,ﾄﾖﾀﾞｼｮｳｶｲ,,,06-6752-8441,06-6752-7451
734281,特許機器㈱　■,,特許機器㈱,ﾄｯｷｮｷｷｷｷｶﾌ,,,,
740016,ﾅｲｶﾞｲ株式会社,札幌営業所,ﾅｲｶﾞｲ　札幌営業所,ﾅｲｶﾞｲ,060-0042,北海道札幌市中央区大通西9丁目1-1ｷﾀｺｰ大通公園ﾋﾞﾙ 3階,090-6194-0506,011-351-1930
740025,長井商会(ｸﾘｰﾆﾝｸﾞ),,長井商会(ｸﾘｰﾆﾝｸﾞ),ﾅｶﾞｲｼｮｳｶｲ,574-0064,大東市御領4丁目1-19,072-871-3921,
740045,株式会社ﾅｶﾞﾄ,,ﾅｶﾞﾄ,ﾅｶﾞﾄ,581-0063,大阪府八尾市太子堂2丁目2-39,072-959-8101,072-959-8102
740065,中本ﾊﾟｯｸｽ株式会社,ﾊﾟｯｹｰｼﾞﾝｸﾞ事業本部,中本ﾊﾟｯｸｽ,ﾅｶﾓﾄﾊﾟｯｸｽ,543-0012,大阪市天王寺区空堀町2-8,06-6762-2150,06-6762-5720
740075,有限会社中山運送,,中山運送,ﾅｶﾔﾏｳﾝｿｳ,571-0014,門真市千石西町3-22-403,072-884-7549,072-884-1105
740095,株式会社南海樹脂工業所,,南海樹脂工業所,ﾅﾝｶｲｼﾞｭｼｺｳ,578-0935,東大阪市若江東町2丁目2番14号,06-6725-4811,06-6723-3859
741026,日輝通商株式会社,,日輝通商,ﾆｯｷﾂｳｼｮｳ,053-0052,苫小牧市新開町3丁目17番7号,0144-55-8163,0144-55-8464
741035,ﾆｯｸｽ株式会社 容器包材営業第2G,,ﾆｯｸｽ㈱,ﾆｯｸｽｶﾌﾞ,542-0081,大阪市中央区南船場4丁目12-12ﾆｯｾｲ心斎橋ｳｪｽﾄﾋﾞﾙ 9階,06-7166-0062,06-6241-1872
741056,日軽物流株式会社 札幌営業所,,日軽物流札幌営業所,ﾆｯｹｲﾌﾞﾂﾘｭｳ,067-0051,江別市工栄町8-11(ﾆﾎﾝﾌﾗｯｼｭ内),011-385-5201,011-385-5255
741062,株式会社ﾆｯｸｽ,,ﾆｯｸｽ 石狩,ﾆｯｸｽ,220-6108,神奈川県横浜市西区みなとみらい2-3-3 ｸｨｰﾝｽﾞﾀﾜｰB 8Ｆ,045-221-1350,045-221-1231
741066,北海道日産自動車株式会社(ﾌｫｰｸﾏﾘｰ,,北海道日産自動車,ﾆｯｻﾝ,065-0019,札幌市東区北19条東1丁目2-5,011-711-2323,011-711-3413
741071,株式会社ﾆｯｸｽ ｸﾞﾛｰﾊﾞﾙ事業部■,,㈱ﾆｯｸｽ ｸﾞﾛｰﾊﾞﾙ事業部,ﾆｯｸｽ,220-6108,神奈川県横浜市西区みなとみらい2-3-3 ｸｨｰﾝｽﾞﾀﾜｰB 8Ｆ,045-221-1350,045-221-1231
741076,北海道日産自動車株式会社,,北海道日産自動車,ﾆｯｻﾝ,066-0075,千歳市北信濃779番地2,0123-22-1711,
741086,日本通運株式会社 (ｺﾝﾃﾅ便),,日本通運(ｺﾝﾃﾅ便),ﾆｯﾂｳｺﾝﾃﾅ,061-3241,石狩市新港西2丁目744-3,0133-74-8844,0133-74-8847
741101,日邦産業株式会社,ｴﾚｸﾄﾛﾆｸｽ事業本部 大阪第2ｸﾞﾙｰﾌﾟ,日邦産業,ﾆｯﾎﾟｳｻﾝｷﾞｮ,564-0063,大阪府吹田市江坂町1-23-28,06-6386-1211,06-6380-2559
741106,日東電材株式会社,,日東電材,ﾆｯﾄｳﾃﾞﾝｻﾞｲ,060-0001,札幌市中央区北1条西4丁目2-2東邦生命ﾋﾞﾙ,011-222-1121,
741126,日本通運株式会社（日通航空）,,日本通運(日通航空),ﾆｯﾎﾟﾝﾂｳｳﾝ,065-0030,札幌市東区北30条東1丁目1-40,011-712-2250,
741136,株式会社日本ｻｯｼｭ,,日本ｻｯｼｭ,ﾆﾎﾝｻｯｼｭ,072-0015,美唄市東6条北11丁目1番1号,0126-63-4235,0126-62-0290
741145,財団法人日本品質保証機構,ﾏﾈｼﾞﾒﾝﾄｼｽﾃﾑ部門,日本品質保証機構,ﾆﾎﾝﾋﾝｼﾂ,100-8308,東京都千代田区丸の内2丁目5-2三菱ﾋﾞﾙ13F,03-6212-9652,
741156,日本ﾌｨﾗｲﾄ株式会社,,日本ﾌｨﾗｲﾄ,ﾆﾎﾝﾌｨﾗｲﾄ,541-0044,大阪府大阪市中央区伏見町2丁目4-5,06-6227-0729,06-6227-0397
741166,日本ﾒｯｼｭ工業株式会社,,日本ﾒｯｼｭ工業株式会社,ﾆﾎﾝﾒｯｼｭｺｳｷ,591-8032,大阪府堺市北区百舌鳥梅町3丁目25番地4,072-250-0551,072-250-0550
741175,日本スリット工業株式会社,,日本スリット工業株式会社,ﾆﾎﾝｽﾘｯﾄｺｳｷ,587-0042,大阪府堺市美原区木材通4-17-16,072-361-3508,072-361-2231
741186,ﾆｭｰﾛﾝｸﾞ株式会社 小樽営業所,,ﾆｭｰﾛﾝｸﾞ小樽営業所,ﾆｭｰﾛﾝｸﾞ,047-0261,小樽市銭函2-17-2,0134-62-2691,
741231,株式会社日本触媒,,株式会社日本触媒,,,,,
741241,ニットー　■,,ニットー,ﾆｯﾄｰ,,,,
744015,ﾉｰﾄﾞｿﾝ株式会社,,ﾉｰﾄﾞｿﾝ,ﾉｰﾄﾞｿﾝ,140-0012,東京都品川区勝島1-5-2東神ﾋﾞﾙ8FPPAﾋﾞｼﾞﾈｽｸﾞﾙｰﾌﾟ関西ｴﾘｱ,120-450-883,03-5471-0232
744021,ﾉﾓﾄ通商株式会社,,ﾉﾓﾄ通商,ﾉﾓﾄﾂｳｼｮｳ,540-0018,京都府八幡市男山泉14-8 林第二ﾋﾞﾙ301号,06-6191-0630,06-6191-0631
744025,株式会社ﾉﾀﾞ,,ﾉﾀﾞ,ﾉﾀﾞ,544-0006,大阪市生野区中川東2-2-15,06-6756-0800,06-6756-0805
750016,株式会社ﾊｰﾍﾞｽ,,ﾊｰﾍﾞｽ,ﾊｰﾍﾞｽ,330-0061,埼玉県さいたま市浦和区常盤9-21-14 ﾊﾟｰｸｻｲﾄﾞｶﾞｸﾔﾋﾞﾙ6F,048-824-2821,048-824-2826
750021,㈱畑中　■,,㈱畑中　■,,,,,
750025,ﾊｷﾞﾉ機工株式会社,,ﾊｷﾞﾉ機工,ﾊｷﾞﾉｷｺｳ,455-0075,名古屋市港区正徳町1丁目55番地,052-651-0141,052-653-0141
750055,ﾊﾏｸﾞﾁﾕｷﾊﾙ（ｱｲ･ｺﾐｭﾆｹｰｼｮﾝｽﾞ),,ﾊﾏｸﾞﾁﾕｷﾊﾙ(ｱｲ･ｺﾐｭﾆｹｰ,ﾊﾏｸﾞﾁ,562-0044,箕面市半町1-3-7,072-723-5309,072-723-5309
750065,林金属工業株式会社,,林金属工業,ﾊﾔｼｷﾝｿﾞｸｺｳ,544-0006,大阪市生野区中川東1-13-18,06-6751-1755,06-6751-1756
750081,ﾊﾟﾅｯｸ株式会社 使用ｼﾅｲ,,ﾊﾟﾅｯｸ株式会社 使用ｼﾅｲ,ﾊﾟﾅｯｸ,,東京都港区芝5丁目31-19ｵｰｴｯｸｽ田町ﾋﾞﾙ,03-5442-8740,03-5442-8177
750091,ﾊﾟﾅｯｸ株式会社 資材部,,ﾊﾟﾅｯｸ株式会社 資材部,ﾊﾟﾅｯｸ,,東京都港区芝5丁目31-19ｵｰｴｯｸｽ田町ﾋﾞﾙ,03-5442-8740,03-5442-8177
750106,有限会社ﾊﾞﾝﾀﾞﾏﾁｯｸｻｰﾋﾞｽ,,ﾊﾞﾝﾀﾞﾏﾁｯｸｻｰﾋﾞｽ,ﾊﾞﾝﾀﾞﾏﾁｯｸ,065-0022,札幌市東区北22条東1丁目2-8,011-704-3280,011-704-3239
750112,ﾊﾋﾟｰｵｰﾙ株式会社,,ﾊﾋﾟｰｵｰﾙ,ﾊﾋﾟｰｵｰﾙ,072-0007,美唄市東6条北7丁目1-19,0126-63-3900,0126-63-3926
750115,ﾊﾞﾝﾄﾞｰ･I･C･S株式会社,,ﾊﾞﾝﾄﾞｰ･I･C･S,ﾊﾞﾝﾄﾞｰ,532-0011,大阪市淀川区西中島6-1-1,06-7659-2732,06-4806-3022
751015,株式会社ﾋｰｽｴﾝｼﾞﾆｱﾘﾝｸﾞ,,ﾋｰｽｴﾝｼﾞﾆｱﾘﾝｸﾞ,ﾋｰｽ,176-0011,東京都練馬区豊玉2-4-6,03-3557-8200,03-3557-8621
751045,株式会社ひらの,,ひらの,ﾋﾗﾉ,547-0000,大阪市平野区瓦屋町1-8-15,06-6762-6147,06-6762-1690
751076,広瀬建設工業株式会社,,広瀬建設工業,ﾋﾛｾｹﾝｾﾂ,072-0021,美唄市大通西1条北3丁目2-7,,
752015,富士黒鉛工業株式会社,,富士黒鉛工業株式会社,ﾌｼﾞｺｸｴﾝｺｳｷ,157-0066,東京都世田谷区成城8-33-2,03-3483-0357,03-3483-7444
752035,福西産業株式会社,,福西産業,ﾌｸﾆｼｻﾝｷﾞｮｳ,636-0203,奈良県磯城郡川西町梅戸327-1,0745-43-3361,0745-43-6684
752045,福山通運株式会社,,福山通運,ﾌｸﾔﾏﾂｳｳﾝ,578-0963,東大阪市新庄859,0729-63-3037,
752056,北海道福山通運株式会社 札幌支店,,北海道福山通運 札幌,ﾌｸﾔﾏﾂｳｳﾝ,007-0804,札幌市東区東苗穂4条3丁目2-18,011-782-2611,
752085,（株）富士運送,,（株）富士運送,ｶﾌﾞﾌｼﾞｳﾝｿｳ,578-0901,大阪府東大阪市加納3-1-9,072-963-0027,072-963-0068
752095,富士商工ﾏｼﾅﾘｰ株式会社 大阪支店,,富士商工ﾏｼﾅﾘｰ,ﾌｼﾞｼｮｳｺｳ,567-0851,大阪府茨木市真砂3-18-20,072-636-5555,072-636-5757
752116,富士ｾﾞﾛｯｸｽ北海道株式会社 使用しない,,X富士ｾﾞﾛｯｸｽ北海道 石X,ﾌｼﾞｾﾞﾛｯｸｽ,060-0042,札幌市中央区大通西10丁目4-133,011-271-5626,0120-753-951
752125,株式会社ﾌﾀﾊﾞｺｰﾎﾟﾚｰｼｮﾝ,,ﾌﾀﾊﾞｺｰﾎﾟﾚｰｼｮﾝ,ﾌﾀﾊﾞｺｰﾎﾟﾚｰ,570-0056,守口市寺内町1丁目3番11号,06-6992-4057,06-6996-3726
752135,福永工業株式会社,,福永工業,ﾌｸﾅｶﾞｺｳｷﾞｮ,578-0935,大阪府東大阪市若江東町5-6-9,06-6724-0866,06-6730-5002
752136,株式会社ﾌﾁｵｶ 北海道支店,,ﾌﾁｵｶ 北海道支店,ﾌﾁｵｶ,004-0815,札幌市清田区美しが丘5条9丁目10番20号,011-881-5041,011-883-5503
752141,株式会社FUJIｼﾞｬﾊﾟﾝ□,,株式会社FUJIｼﾞｬﾊﾟﾝ□,,,,,
752166,富士ｾﾞﾛｯｸｽ北海道株式会社 使用しない,,X富士ｾﾞﾛｯｸｽ北海道 美X,ﾌｼﾞｾﾞﾛｯｸｽ,060-0042,札幌市中央区大通西10丁目4-133,011-271-5626,0120-753-951
754025,株式会社ﾎｰﾗｲ 大阪営業事業所,,ﾎｰﾗｲ 大阪営業事務所,ﾎｰﾗｲ,577-0065,東大阪市高井田中2-1-1,06-6618-6222,06-6618-6224
754056,株式会社北斗ｺﾞﾑ製作所,,北斗ｺﾞﾑ製作所,ﾎｸﾄｺﾞﾑ,047-0261,小樽市銭函3丁目274番地5,0134-62-6663,0134-62-7739
754086,北海樹脂興業株式会社,,北海樹脂興業,ﾎｯｶｲｼﾞｭｼ,067-0051,江別市工栄町25番10号,011-384-5578,011-384-2438
754096,北海道通商株式会社,,北海道通商,ﾎｯｶｲﾄﾞｳ,007-0822,札幌市東区東雁来2条1丁目2-46,011-781-0161,011-782-7770
754106,北海道ｴﾈﾙｷﾞｰ株式会社,美唄ｲﾝﾀｰSS,北海道ｴﾈﾙｷﾞｰ,ﾎｯｶｲﾄﾞｳｴﾈﾙ,060-0031,札幌市中央区北1条東3丁目3札幌ｽｸｴｱｾﾝﾀｰﾋﾞﾙ,011-209-8180,011-209-8181
754116,北海道急行運輸株式会社,,北海道急行運輸,ﾎｯｷｭｳ,006-0835,札幌市手稲区曙5条5丁目3-2,,
754135,本田機販　福森隼雄,,本田機販,ﾎﾝﾀﾞｷﾊﾝ,577-0056,大阪府東大阪市長堂2丁目29-9,06-6782-7677,06-6782-1422
760016,株式会社正久,,正久,ﾏｻﾋｻ,060-0041,札幌市中央区大通7丁目12番地ﾉｰｽｼﾃｨﾃｸﾉﾋﾞﾙ4階,011-251-9870,011-251-9871
760035,株式会社松井製作所,,松井製作所,ﾏﾂｲｾｲｻｸｼｮ,573-1132,大阪府枚方市招提田近2-19,072-851-6120,072-851-9760
760055,株式会社松岡ｶｯﾀｰ製作所,,松岡ｶｯﾀｰ製作所,ﾏﾂｵｶｶｯﾀｰ,,静岡市葵区古庄2丁目18-46,054-261-1877,054-261-7810
760066,松岡満運輸株式会社,,松岡満運輸,ﾏﾂｵｶﾏﾝ,003-0030,札幌市白石区流通ｾﾝﾀｰ5丁目1-5,011-863-1691,011-863-0419
760076,松岡満運輸株式会社 大阪,,松岡満運輸(大阪),ﾏﾂｵｶﾏﾝ,,,,
760086,美唄松岡満運輸株式会社,,美唄松岡満運輸,ﾏﾂｵｶﾏﾝ,079-0261,美唄市茶志内町１区,0126-62-7373,0126-62-7374
760095,松昇株式会社,,松昇,ﾏﾂｼｮｳ,571-0016,門真市島頭3-11-15,072-884-0829,072-884-0915
760105,明幸環境,,明幸環境,ﾒｲｺｳｶﾝｷｮｳ,638-0821,奈良県吉野郡大淀町下渕1320-5,0747-52-3337,
